icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,category
a2ba29,N275MG  ,United States,1750004642,1750004642,-117.0545,33.2964,1325.88,False,82.83,180.71,-2.6,,1341.12,,False,0,0
a3ffa4,N357JP  ,United States,1750004642,1750004642,-116.7584,32.8444,792.48,False,30.82,75.5,2.28,,777.24,,False,0,0
a9b4de,UAL2622 ,United States,1750004641,1750004641,-117.0319,32.6952,914.4,False,89.75,285.63,-5.53,,914.4,7412,False,0,0
a2dddf,N284LP  ,United States,1750004632,1750004632,-116.9496,32.8136,312.42,False,40.51,17.74,-3.25,,281.94,,False,0,0
ac20c4,SWA1640 ,United States,1750004628,1750004628,-117.1871,32.7341,,True,0.0,284.06,,,,,False,0,0
a9b9f5,N726BF  ,United States,1750004642,1750004642,-116.8271,32.5855,1592.58,False,84.1,255.11,-13.98,,1638.3,,False,0,0
ab8eb9,N844AD  ,United States,1750004631,1750004632,-117.262,33.286,213.36,False,15.06,7.85,2.6,,167.64,,False,0,0
a0bf3c,N1471R  ,United States,1750004641,1750004641,-116.8632,32.8168,1524.0,False,109.99,216.44,-8.13,,1569.72,,False,0,0
0d09a3,VOI1712 ,Mexico,1750004641,1750004642,-116.1633,32.9158,10256.52,False,205.3,300.74,-9.43,,10888.98,2066,False,0,0
a759ce,N573CP  ,United States,1750004642,1750004642,-117.2302,33.1908,1524.0,False,72.4,81.01,0.0,,1569.72,,False,0,0
a8fc72,UAL470  ,United States,1750004642,1750004642,-116.7384,32.7453,2270.76,False,140.51,240.62,-7.15,,2369.82,3114,False,0,0
aaadb2,SWA2441 ,United States,1750004628,1750004628,-117.1822,32.7307,,True,2.83,104.06,,,,,False,0,0
a7dcdf,N6055F  ,United States,1750004642,1750004642,-116.7815,33.1483,2682.24,False,66.95,272.64,-2.6,,2796.54,,False,0,0
ac1ad7,SWA4712 ,United States,1750004384,1750004384,-117.1824,32.7308,,True,4.12,104.06,,,,,False,0,0
a4bd24,SKW3283 ,United States,1750004642,1750004642,-117.2273,32.7475,480.06,False,84.33,304.56,7.15,,449.58,,False,0,0
adafb5,JBU619  ,United States,1750004641,1750004641,-116.1681,32.761,4526.28,False,174.05,264.91,-8.13,,4800.6,5722,False,0,0
a6a7f7,N528PM  ,United States,1750004642,1750004642,-116.7019,32.6468,5821.68,False,87.43,83.92,4.23,,6179.82,,False,0,0
abec6c,SWA2825 ,United States,1750004403,1750004404,-117.1867,32.7328,7.62,False,74.27,285.67,0.0,,-22.86,7416,False,0,0
a12c04,N175CT  ,United States,1750004641,1750004642,-117.1437,32.7224,243.84,False,69.04,286.0,-4.88,,205.74,3527,False,0,0
a6d234,,United States,1750004637,1750004637,-117.1876,32.7331,22.86,False,72.78,286.0,0.33,,-30.48,,False,0,0
ac1698,SWA200  ,United States,1750004521,1750004521,-117.1877,32.7331,0.0,False,70.03,285.77,-0.65,,7.62,2625,False,0,0
acd03d,N9246N  ,United States,1750004642,1750004642,-116.7843,32.8884,1562.1,False,46.95,55.27,2.28,,1607.82,,False,0,0
ac4f29,SWA150  ,United States,1750004433,1750004433,-117.188,32.7341,,True,0.26,230.62,,,,5204,False,0,0
ac4e53,N892SA  ,United States,1750004508,1750004508,-117.1286,32.8218,213.36,False,23.74,240.1,-1.63,,167.64,,False,0,0
